0,0,20
0,0,88
1.3436535,-15.8159,88
-4.98035,-16.096,88
5.17241,-23.2379,88
-7.64901,-26.6215,88
-4.35077,-23.4396,88
16.2926,-13.9699,88
10.0171,-16.122,88
24.4126,-5.73607,88
-6.9532,-8.03185,88
-17.891,-5.34038,88
-27.7995,-0.496811,88
-28.203,2.01843,88
-24.4919,8.56436,88
-0.139397,-3.24046,88
7.04116,-9.62352,88
-11.3982,0.672928,88
-12.562,6.20432,88
3.55202,-1.73409,88
31.0881,-5.4948,88
13.6174,-6.05292,88
28.1378,1.83047,88
7.74411,-1.42644,88
11.7364,-5.93803,88
-11.0829,-3.38919,88
5.83399,-0.696899,98
4.18425,1.05573,88
2.55716,-4.91539,88
5.49631,-3.339,98
